Document ID,Sentence No,Word,Tag
ARTHROTEC.1,0,I,O
ARTHROTEC.1,0,feel,O
ARTHROTEC.1,0,a,O
ARTHROTEC.1,0,bit,B-ADR
ARTHROTEC.1,0,drowsy,I-ADR
ARTHROTEC.1,0,&,O
ARTHROTEC.1,0,have,O
ARTHROTEC.1,0,a,O
ARTHROTEC.1,0,little,B-ADR
ARTHROTEC.1,0,blurred,I-ADR
ARTHROTEC.1,0,vision,I-ADR
ARTHROTEC.1,0,",",O
ARTHROTEC.1,0,so,O
ARTHROTEC.1,0,far,O
ARTHROTEC.1,0,no,O
ARTHROTEC.1,0,gastric,B-ADR
ARTHROTEC.1,0,problems,I-ADR
ARTHROTEC.1,0,0,O
ARTHROTEC.1,1,I,O
ARTHROTEC.1,1,',O
ARTHROTEC.1,1,ve,O
ARTHROTEC.1,1,been,O
ARTHROTEC.1,1,on,O
ARTHROTEC.1,1,Arthrotec,B-Drug
ARTHROTEC.1,1,50,O
ARTHROTEC.1,1,for,O
ARTHROTEC.1,1,over,O
ARTHROTEC.1,1,10,O
ARTHROTEC.1,1,years,O
ARTHROTEC.1,1,on,O
ARTHROTEC.1,1,and,O
ARTHROTEC.1,1,off,O
ARTHROTEC.1,1,",",O
ARTHROTEC.1,1,only,O
ARTHROTEC.1,1,taking,O
ARTHROTEC.1,1,it,O
ARTHROTEC.1,1,when,O
ARTHROTEC.1,1,I,O
ARTHROTEC.1,1,needed,O
ARTHROTEC.1,1,it,O
ARTHROTEC.1,1,0,O
ARTHROTEC.1,2,Due,O
ARTHROTEC.1,2,to,O
ARTHROTEC.1,2,my,O
ARTHROTEC.1,2,arthritis,B-Disease
ARTHROTEC.1,2,getting,O
ARTHROTEC.1,2,progressively,O
ARTHROTEC.1,2,worse,O
ARTHROTEC.1,2,",",O
ARTHROTEC.1,2,to,O
ARTHROTEC.1,2,the,O
ARTHROTEC.1,2,point,O
ARTHROTEC.1,2,where,O
ARTHROTEC.1,2,I,O
ARTHROTEC.1,2,am,O
ARTHROTEC.1,2,in,O
ARTHROTEC.1,2,tears,O
ARTHROTEC.1,2,with,O
ARTHROTEC.1,2,the,O
ARTHROTEC.1,2,agony,B-Symptom
ARTHROTEC.1,2,",",O
ARTHROTEC.1,2,gp,O
ARTHROTEC.1,2,',O
ARTHROTEC.1,2,s,O
ARTHROTEC.1,2,started,O
ARTHROTEC.1,2,me,O
ARTHROTEC.1,2,on,O
ARTHROTEC.1,2,75,O
ARTHROTEC.1,2,twice,O
ARTHROTEC.1,2,a,O
ARTHROTEC.1,2,day,O
ARTHROTEC.1,2,and,O
ARTHROTEC.1,2,I,O
ARTHROTEC.1,2,have,O
ARTHROTEC.1,2,to,O
ARTHROTEC.1,2,take,O
ARTHROTEC.1,2,it,O
ARTHROTEC.1,2,0,O
ARTHROTEC.1,3,every,O
ARTHROTEC.1,3,day,O
ARTHROTEC.1,3,for,O
ARTHROTEC.1,3,the,O
ARTHROTEC.1,3,next,O
ARTHROTEC.1,3,month,O
ARTHROTEC.1,3,to,O
ARTHROTEC.1,3,see,O
ARTHROTEC.1,3,how,O
ARTHROTEC.1,3,I,O
ARTHROTEC.1,3,get,O
ARTHROTEC.1,3,on,O
ARTHROTEC.1,3,",",O
ARTHROTEC.1,3,here,O
ARTHROTEC.1,3,goes,O
ARTHROTEC.1,3,0,O
ARTHROTEC.1,4,So,O
ARTHROTEC.1,4,far,O
ARTHROTEC.1,4,its,O
ARTHROTEC.1,4,been,O
ARTHROTEC.1,4,very,O
ARTHROTEC.1,4,good,O
ARTHROTEC.1,4,",",O
ARTHROTEC.1,4,pains,B-Symptom
ARTHROTEC.1,4,almost,O
ARTHROTEC.1,4,gone,O
ARTHROTEC.1,4,",",O
ARTHROTEC.1,4,but,O
ARTHROTEC.1,4,I,O
ARTHROTEC.1,4,feel,B-ADR
ARTHROTEC.1,4,a,I-ADR
ARTHROTEC.1,4,bit,I-ADR
ARTHROTEC.1,4,weird,I-ADR
ARTHROTEC.1,4,",",O
ARTHROTEC.1,4,didn,O
ARTHROTEC.1,4,',O
ARTHROTEC.1,4,t,O
ARTHROTEC.1,4,have,O
ARTHROTEC.1,4,that,O
ARTHROTEC.1,4,when,O
ARTHROTEC.1,4,on,O
ARTHROTEC.1,4,50,O
ARTHROTEC.1,4,0,O
ARTHROTEC.10,5,Hunger,B-ADR
ARTHROTEC.10,5,pangs,I-ADR
ARTHROTEC.10,5,0,O
ARTHROTEC.10,6,Brilliant,O
ARTHROTEC.10,6,",",O
ARTHROTEC.10,6,I,O
ARTHROTEC.10,6,have,O
ARTHROTEC.10,6,a,O
ARTHROTEC.10,6,new,O
ARTHROTEC.10,6,lease,O
ARTHROTEC.10,6,of,O
ARTHROTEC.10,6,life,O
ARTHROTEC.10,6,",",O
ARTHROTEC.10,6,i,O
ARTHROTEC.10,6,walk,B-Symptom
ARTHROTEC.10,6,up,I-Symptom
ARTHROTEC.10,6,&,I-Symptom
ARTHROTEC.10,6,down,I-Symptom
ARTHROTEC.10,6,steps,I-Symptom
ARTHROTEC.10,6,properly,I-Symptom
ARTHROTEC.10,6,",",I-Symptom
ARTHROTEC.10,6,no,I-Symptom
ARTHROTEC.10,6,longer,I-Symptom
ARTHROTEC.10,6,sideways,I-Symptom
ARTHROTEC.10,6,like,O
ARTHROTEC.10,6,a,O
ARTHROTEC.10,6,toddler,O
ARTHROTEC.10,6,",",O
ARTHROTEC.10,6,hip,B-Symptom
ARTHROTEC.10,6,pain,I-Symptom
ARTHROTEC.10,6,as,O
ARTHROTEC.10,6,gone,O
