0,1,2
641037848527945000,Wrote,O
6.41038E+17,about,O
6.41038E+17,Effexor,B-Drug
6.41038E+17,XR,O
6.41038E+17,withdrawal,B-Symptom
6.41038E+17,today,O
6.41038E+17,",",O
6.41038E+17,recalled,O
6.41038E+17,vividly,O
6.41038E+17,at,O
6.41038E+17,the,O
6.41038E+17,time,O
6.41038E+17,my,B-Symptom
6.41038E+17,brain,I-Symptom
6.41038E+17,felt,I-Symptom
6.41038E+17,like,I-Symptom
6.41038E+17,a,I-Symptom
6.41038E+17,raw,I-Symptom
6.41038E+17,pork,I-Symptom
6.41038E+17,shoulder,I-Symptom
6.41038E+17,inside,I-Symptom
6.41038E+17,a,I-Symptom
6.41038E+17,spinning,I-Symptom
6.41038E+17,fishbowl,I-Symptom
6.41038E+17,.,O
6.41058E+17,Is,O
6.41058E+17,steroid,O
6.41058E+17,induced,O
6.41058E+17,psychosis,O
6.41058E+17,a,O
6.41058E+17,thing,O
6.41058E+17,?,O
6.41058E+17,(,O
6.41058E+17,Like,O
6.41058E+17,short,O
6.41058E+17,term,O
6.41058E+17,prednisone,B-Drug
6.41058E+17,tx,O
6.41058E+17,),O
6.41061E+17,Paxil,B-Drug
6.41061E+17,withdrawal,O
6.41061E+17,update,O
6.41061E+17,:,O
6.41061E+17,still,O
6.41061E+17,on,O
6.41061E+17,1,O
6.41061E+17,/,O
6.41061E+17,2,O
6.41061E+17,pill,O
6.41061E+17,every,O
6.41061E+17,other,O
6.41061E+17,day,O
6.41061E+17,",",O
6.41061E+17,so,O
6.41061E+17,sleepy,B-Symptom
6.41061E+17,",",O
6.41061E+17,dizzy,B-Symptom
6.41061E+17,and,O
6.41061E+17,a,O
6.41061E+17,little,O
6.41061E+17,sad,B-Symptom
6.41061E+17,",",O
6.41061E+17,Since,O
6.41061E+17,I,O
6.41061E+17,know,O
6.41061E+17,the,O
6.41061E+17,reason,O
6.41061E+17,it,O
6.41061E+17,',O
6.41061E+17,s,O
6.41061E+17,ok,O
6.41061E+17,.,O
6.41061E+17,…,O
6.41061E+17,over,O
6.41061E+17,soon,O
6.41061E+17,!,O
6.41089E+17,Doc,O
6.41089E+17,upped,O
6.41089E+17,my,O
6.41089E+17,depression,B-Disease
6.41089E+17,/,O
6.41089E+17,anxiety,B-Symptom
6.41089E+17,med,O
6.41089E+17,dosage,O
6.41089E+17,and,O
6.41089E+17,omg,O
6.41089E+17,.,O
6.41089E+17,.,O
6.41089E+17,.,O
6.41089E+17,.,O
6.41089E+17,I,O
6.41089E+17,feel,B-Symptom
6.41089E+17,like,I-Symptom
6.41089E+17,I,I-Symptom
6.41089E+17,am,I-Symptom
6.41089E+17,dying,I-Symptom
6.41089E+17,!,O
6.41089E+17,Anyone,O
6.41089E+17,else,O
6.41089E+17,take,O
6.41089E+17,Effexor,B-Drug
6.41089E+17,?,O
6.41091E+17,Has,O
6.41091E+17,anyone,O
6.41091E+17,ever,O
6.41091E+17,taken,O
6.41091E+17,Cymbalta,B-Drug
6.41091E+17,and,O
6.41091E+17,experienced,O
6.41091E+17,severe,O
6.41091E+17,side,O
6.41091E+17,effects,O
6.41091E+17,when,O
6.41091E+17,coming,O
6.41091E+17,off,O
6.41091E+17,of,O
6.41091E+17,it,O
6.41091E+17,?,O
6.41091E+17,?,O
6.41091E+17,?,O
6.41091E+17,#,B-Drug
6.41091E+17,Cymbalta,I-Drug
6.41091E+17,#,O
6.41091E+17,Medication,O
6.41091E+17,#,B-Disease
6.41091E+17,Depression,I-Disease
6.41091E+17,#,O
6.41091E+17,Help,O
6.41091E+17,#,O
6.41091E+17,Me,O
6.41097E+17,@,O
6.41097E+17,_,O
6.41097E+17,Cas,O
6.41097E+17,_,O
6.41097E+17,Novak,O
6.41097E+17,_,O
6.41097E+17,@,O
6.41097E+17,T21ASDMommy,O
6.41097E+17,I,O
6.41097E+17,take,O
6.41097E+17,Paxil,B-Drug
6.41097E+17,for,O
6.41097E+17,my,O
6.41097E+17,anxiety,B-Symptom
6.41097E+17,.,O
6.41097E+17,It,O
6.41097E+17,helps,O
6.41097E+17,quite,O
6.41097E+17,a,O
6.41097E+17,bit,O
6.41097E+17,.,O
6.41195E+17,The,O
6.41195E+17,Scottish,O
6.41195E+17,Medicines,O
6.41195E+17,Consortium,O
6.41195E+17,has,O
6.41195E+17,approved,O
6.41195E+17,bevacizumab,B-Drug
6.41195E+17,for,O
6.41195E+17,patients,O
6.41195E+17,with,O
6.41195E+17,recurrent,O
6.41195E+17,ovarian,B-Disease
6.41195E+17,cancer,I-Disease
6.41195E+17,resistant,O
6.41195E+17,to,O
6.41195E+17,a,O
6.41195E+17,form,O
6.41195E+17,of,O
6.41195E+17,chemotherapy,O
6.41195E+17,.,O
6.41225E+17,Fuck,O
6.41225E+17,.,O
6.41225E+17,I,O
6.41225E+17,am,O
6.41225E+17,really,O
6.41225E+17,not,O
6.41225E+17,in,O
6.41225E+17,a,O
6.41225E+17,good,O
6.41225E+17,or,O
6.41225E+17,safe,O
6.41225E+17,place,O
6.41225E+17,to,O
6.41225E+17,be,O
6.41225E+17,going,O
6.41225E+17,on,O
6.41225E+17,day,O
6.41225E+17,two,O
6.41225E+17,of,O
6.41225E+17,unintentional,O
6.41225E+17,Cymbalta,B-Drug
6.41225E+17,cold,B-Symptom
6.41225E+17,turkey,I-Symptom
6.41225E+17,.,O
6.4126E+17,Switched,O
6.4126E+17,from,O
6.4126E+17,Tamoxifen,B-Drug
6.4126E+17,",",O
6.4126E+17,2,O
6.4126E+17,yrs,O
6.4126E+17,after,O
6.4126E+17,double,O
6.4126E+17,boobectomies,O
6.4126E+17,",",O
6.4126E+17,to,O
6.4126E+17,Anastrozole,O
6.4126E+17,.,O
6.4126E+17,The,O
6.4126E+17,angst,O
6.4126E+17,is,O
6.4126E+17,gone,O
6.4126E+17,.,O
6.4126E+17,Energy,B-Symptom
6.4126E+17,way,O
6.4126E+17,up,O
6.4126E+17,.,O
6.4126E+17,Woohoo,O
6.4126E+17,!,O
6.4126E+17,#,O
6.4126E+17,mywana,O
6.4126E+17,#,B-Disease
6.4126E+17,breastcancer,I-Disease
6.41298E+17,Why,O
6.41298E+17,am,O
6.41298E+17,I,O
6.41298E+17,only,O
6.41298E+17,capable,O
6.41298E+17,of,O
6.41298E+17,being,O
6.41298E+17,productive,O
6.41298E+17,whilst,O
6.41298E+17,on,O
6.41298E+17,drugs,O
6.41298E+17,?,O
6.41298E+17,?,O
6.41298E+17,?,O
6.41298E+17,Ritalin,B-Drug
6.41298E+17,comedown,O
6.41298E+17,is,O
6.41298E+17,not,O
6.41298E+17,fun,O
6.41298E+17,😒,O
6.41298E+17,#,O
6.41298E+17,adhdprobs,O
6.41333E+17,Really,O
6.41333E+17,skinny,O
6.41333E+17,her,O
6.41333E+17,stomach,O
6.41333E+17,is,O
6.41333E+17,bloated,O
6.41333E+17,and,O
6.41333E+17,she,O
6.41333E+17,has,O
6.41333E+17,a,O
6.41333E+17,growth,O
6.41333E+17,in,O
6.41333E+17,his,O
6.41333E+17,chest,O
6.41333E+17,lupus,O
6.41333E+17,scar,O
6.41333E+17,tissue,O
6.41333E+17,on,O
6.41333E+17,her,O
6.41333E+17,lungs,O
6.41333E+17,they,O
6.41333E+17,put,O
6.41333E+17,her,O
6.41333E+17,back,O
6.41333E+17,on,O
6.41333E+17,prednisone,B-Drug
6.41333E+17,to,O
6.41333E+17,.,O
6.41333E+17,.,O
6.41333E+17,.,O
6.41363E+17,lke,O
6.41363E+17,i,O
6.41363E+17,',O
6.41363E+17,m,O
6.41363E+17,wondering,O
6.41363E+17,if,O
6.41363E+17,i,O
6.41363E+17,take,O
6.41363E+17,half,O
6.41363E+17,a,O
6.41363E+17,seroquel,B-Drug
6.41363E+17,would,O
6.41363E+17,cancel,O
6.41363E+17,out,O
6.41363E+17,the,O
6.41363E+17,effects,O
6.41363E+17,mad,O
6.41363E+17,dizziness,B-Symptom
6.41363E+17,wellbutrin,O
6.41363E+17,is,O
6.41363E+17,giving,O
6.41363E+17,me,O
6.41374E+17,Started,O
6.41374E+17,trazodone,B-Drug
6.41374E+17,for,O
6.41374E+17,depression,B-Disease
6.41374E+17,and,O
6.41374E+17,insomnia,B-Symptom
6.41374E+17,yesterday,O
6.41374E+17,.,O
6.41374E+17,I,O
6.41374E+17,feel,O
6.41374E+17,like,O
6.41374E+17,a,O
6.41374E+17,zzzombie,O
6.41374E+17,today,O
6.41374E+17,.,O
6.41374E+17,*,O
6.41374E+17,crashes,O
6.41374E+17,*,O
6.41387E+17,Paxil,B-Drug
6.41387E+17,just,O
6.41387E+17,isn,O
6.41387E+17,',O
6.41387E+17,t,O
6.41387E+17,working,O
6.41387E+17,",",O
6.41387E+17,is,O
6.41387E+17,a,O
6.41387E+17,part,O
6.41387E+17,of,O
6.41387E+17,it,O
6.41387E+17,.,O
6.41387E+17,And,O
6.41387E+17,my,O
6.41387E+17,anxiety,B-Symptom
6.41387E+17,is,O
6.41387E+17,peaking,O
6.41387E+17,so,O
6.41387E+17,badly,O
6.41387E+17,doing,O
6.41387E+17,normal,O
6.41387E+17,person,O
6.41387E+17,stuff,O
6.41387E+17,",",O
6.41387E+17,some,O
6.41387E+17,days,O
6.41387E+17,all,O
6.41387E+17,I,B-Symptom
6.41387E+17,can,I-Symptom
6.41387E+17,do,I-Symptom
6.41387E+17,is,I-Symptom
6.41387E+17,stay,I-Symptom
6.41387E+17,home,I-Symptom
6.41392E+17,See,O
6.41392E+17,this,O
6.41392E+17,incredibly,O
6.41392E+17,elaborate,O
6.41392E+17,Minecraft,O
6.41392E+17,recreation,O
6.41392E+17,of,O
6.41392E+17,(,O
6.41392E+17,insert,O
6.41392E+17,clickbait,O
6.41392E+17,here,O
6.41392E+17,),O
6.41392E+17,fueled,O
6.41392E+17,by,O
6.41392E+17,crippling,O
6.41392E+17,autism,B-Disease
6.41392E+17,and,O
6.41392E+17,Ritalin,B-Drug
6.41392E+17,.,O
6.41437E+17,SOR,O
6.41437E+17,A,O
6.41437E+17,for,O
6.41437E+17,migraine,O
6.41437E+17,prophylaxis,O
6.41437E+17,:,O
6.41437E+17,propranolol,O
6.41437E+17,",",O
6.41437E+17,topiramate,B-Drug
6.41437E+17,",",O
6.41437E+17,amitriptyline,O
6.41437E+17,",",O
6.41437E+17,&,O
6.41437E+17,amp,O
6.41437E+17,;,O
6.41437E+17,valproic,O
6.41437E+17,acid,O
6.41437E+17,.,O
6.41437E+17,Consider,O
6.41437E+17,if,O
6.41437E+17,2,O
6.41437E+17,+,O
6.41437E+17,debilitating,O
6.41437E+17,headaches,B-Symptom
6.41437E+17,per,O
6.41437E+17,month,O
6.41437E+17,.,O
6.41447E+17,everyone,O
6.41447E+17,should,O
6.41447E+17,take,O
6.41447E+17,trazodone,B-Drug
6.41447E+17,once,O
6.41447E+17,in,O
6.41447E+17,their,O
6.41447E+17,life,O
6.41447E+17,",",O
6.41447E+17,even,O
6.41447E+17,if,O
6.41447E+17,they,O
6.41447E+17,don,O
6.41447E+17,',O
6.41447E+17,t,O
6.41447E+17,suffer,O
6.41447E+17,from,O
6.41447E+17,insomnia,B-Symptom
6.41447E+17,.,O
6.41447E+17,like,O
6.41447E+17,.,O
6.41447E+17,.,O
6.41447E+17,.,O
6.41447E+17,.,O
6.41447E+17,the,O
6.41447E+17,deepest,O
6.41447E+17,",",O
6.41447E+17,sleeping,B-Symptom
6.41447E+17,beauty,I-Symptom
6.41447E+17,sleep,I-Symptom
6.41505E+17,when,O
6.41505E+17,you,O
6.41505E+17,on,O
6.41505E+17,meds,O
6.41505E+17,like,O
6.41505E+17,Zoloft,B-Drug
6.41505E+17,and,O
6.41505E+17,Paxil,B-Drug
6.41505E+17,and,O
6.41505E+17,to,O
6.41505E+17,withdrawals,B-Symptom
6.41505E+17,makes,O
6.41505E+17,you,O
6.41505E+17,wanna,O
6.41505E+17,kave,O
6.41505E+17,somebody,O
6.41505E+17,head,O
6.41505E+17,in,O
6.41505E+17,󾌦,O
6.41564E+17,8th,O
6.41564E+17,chemo,O
6.41564E+17,going,O
6.41564E+17,to,O
6.41564E+17,be,O
6.41564E+17,hard,O
6.41564E+17,avastin,B-Drug
6.41564E+17,pemexted,O
6.41564E+17,cisplatin,O
6.41564E+17,cocktail,O
6.41564E+17,",",O
6.41564E+17,then,O
6.41564E+17,I,O
6.41564E+17,hope,O
6.41564E+17,a,O
6.41564E+17,break,O
6.41564E+17,",",O
6.41564E+17,nerve,B-Symptom
6.41564E+17,damage,I-Symptom
6.41564E+17,in,O
6.41564E+17,feet,O
6.41564E+17,and,O
6.41564E+17,hands,O
6.41564E+17,improving,O
6.41564E+17,",",O
